,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breader_crossover|merge_and_split,tournament_selection|twin_maker|the_hop,tournament_selection|twin_maker|swap_mutation,fps|twin_maker|merge_and_split,fps|gbx_crossover|merge_and_split,fps|eager_breader_crossover|merge_and_split,fps|twin_maker|the_hop,fps|twin_maker|swap_mutation,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breader_crossover|merge_and_split,ranking_selection|twin_maker|the_hop,ranking_selection|twin_maker|swap_mutation
32,51300.0,76310.0,77250.0,46710.0,51120.0,41210.0,76460.0,79570.0,43940.0,43920.0,40840.0,76090.0,79500.0,39860.0,40260.0
33,51620.0,76310.0,77250.0,46900.0,51290.0,41400.0,76660.0,79570.0,44550.0,45100.0,40980.0,76120.0,79500.0,40010.0,40630.0
34,51800.0,76390.0,77250.0,47020.0,51520.0,41760.0,76900.0,79570.0,44590.0,45900.0,41400.0,76600.0,79500.0,40210.0,41740.0
35,52110.0,76390.0,77250.0,47200.0,51600.0,41830.0,76930.0,79570.0,45710.0,46080.0,41680.0,76700.0,79500.0,40400.0,41800.0
36,52150.0,76390.0,77250.0,47210.0,51610.0,42210.0,77140.0,79570.0,45840.0,46080.0,42210.0,76710.0,79500.0,41900.0,42740.0
37,52420.0,76390.0,77250.0,47210.0,51750.0,42580.0,77360.0,79570.0,46820.0,46080.0,42940.0,76910.0,79500.0,43480.0,42830.0
38,52780.0,76390.0,77250.0,47210.0,51750.0,42670.0,77450.0,79570.0,46870.0,46470.0,42940.0,77480.0,79500.0,43590.0,43050.0
39,53050.0,76390.0,77250.0,47210.0,51760.0,42790.0,77540.0,79570.0,47230.0,47280.0,42940.0,77630.0,79500.0,44290.0,43540.0
40,53100.0,76390.0,77250.0,47210.0,52170.0,42790.0,77770.0,79570.0,47240.0,47470.0,43340.0,77630.0,79500.0,44570.0,43600.0
41,53150.0,76390.0,77250.0,47210.0,52190.0,43000.0,78080.0,79570.0,47310.0,47470.0,43540.0,77900.0,79550.0,44610.0,44990.0
42,53400.0,76390.0,77250.0,47210.0,52190.0,43220.0,78170.0,79570.0,48300.0,47940.0,43800.0,78190.0,79550.0,45230.0,45860.0
43,53410.0,76390.0,77250.0,47210.0,52200.0,43980.0,78340.0,79570.0,49190.0,48340.0,43880.0,78390.0,79550.0,45510.0,46070.0
44,53410.0,76500.0,77250.0,47210.0,52350.0,44240.0,78440.0,79570.0,49190.0,49060.0,43970.0,78390.0,79550.0,45680.0,46530.0
45,53540.0,76500.0,77250.0,47210.0,52350.0,44320.0,78470.0,79570.0,49630.0,49140.0,45070.0,78390.0,79550.0,46250.0,47510.0
46,53550.0,76500.0,77250.0,47210.0,52360.0,44590.0,78750.0,79570.0,50290.0,49650.0,45940.0,78510.0,79550.0,46620.0,47700.0
47,53630.0,76500.0,77250.0,47210.0,52380.0,44950.0,78820.0,79570.0,50610.0,49710.0,46490.0,78520.0,79550.0,47270.0,47800.0
48,53710.0,76500.0,77250.0,47210.0,52520.0,45120.0,78860.0,79570.0,50610.0,49730.0,46660.0,78570.0,79550.0,47810.0,48460.0
49,53850.0,76500.0,77250.0,47210.0,52520.0,45150.0,78890.0,79570.0,50610.0,49730.0,46730.0,78600.0,79550.0,47860.0,49310.0
50,54260.0,76500.0,77250.0,47210.0,52600.0,45790.0,78900.0,79570.0,50610.0,49940.0,46730.0,78770.0,79550.0,48160.0,49590.0
51,54310.0,76500.0,77250.0,47210.0,52600.0,45880.0,78910.0,79570.0,51010.0,50180.0,46730.0,78820.0,79550.0,49180.0,49660.0
52,54370.0,76500.0,77250.0,47210.0,52600.0,45880.0,78930.0,79570.0,51090.0,50300.0,46850.0,78860.0,79550.0,49720.0,50000.0
53,54400.0,76500.0,77250.0,47210.0,52600.0,45910.0,78930.0,79570.0,51230.0,50650.0,46920.0,78860.0,79550.0,49720.0,50180.0
54,54400.0,76530.0,77250.0,47210.0,52600.0,46060.0,78930.0,79570.0,51310.0,51140.0,47120.0,78930.0,79550.0,50210.0,50510.0
55,54680.0,76530.0,77250.0,47210.0,52610.0,46070.0,78940.0,79570.0,51350.0,51480.0,47830.0,78950.0,79550.0,50730.0,50510.0
