,tournament_selection|gbx_crossover|swap_mutation,tournament_selection|eager_breeder_crossover|swap_mutation,tournament_selection|twin_maker|the_hop,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breeder_crossover|the_hop,tournament_selection|twin_maker|dream_team,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|dream_team,fps|gbx_crossover|swap_mutation,fps|eager_breeder_crossover|swap_mutation,fps|twin_maker|the_hop,fps|gbx_crossover|merge_and_split,fps|eager_breeder_crossover|the_hop,fps|twin_maker|dream_team,fps|twin_maker|merge_and_split,fps|gbx_crossover|dream_team,ranking_selection|gbx_crossover|swap_mutation,ranking_selection|eager_breeder_crossover|swap_mutation,ranking_selection|twin_maker|the_hop,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breeder_crossover|the_hop,ranking_selection|twin_maker|dream_team,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|dream_team
22,76920,78370,46346.6667,76953.3333,78566.6667,47610,45296.6667,76506.6667,74946.6667,79740,36736.6667,74873.3333,79276.6667,36826.6667,37166.6667,74333.3333,73676.6667,79663.3333,34040,72896.6667,79453.3333,35056.6667,33260,72590
23,76920,78370,46686.6667,76976.6667,78566.6667,48036.6667,45943.3333,76520,75246.6667,79750,37246.6667,74980,79323.3333,37550,37823.3333,74523.3333,74113.3333,79690,35053.3333,73293.3333,79453.3333,35110,33686.6667,73063.3333
24,76936.6667,78370,47046.6667,76983.3333,78566.6667,48466.6667,46323.3333,76556.6667,75470,79750,38006.6667,75516.6667,79323.3333,37793.3333,38420,74996.6667,74566.6667,79690,35470,73636.6667,79453.3333,35426.6667,34483.3333,73380
25,76940,78370,47340,76983.3333,78566.6667,48933.3333,46650,76556.6667,75720,79753.3333,38363.3333,75760,79323.3333,38000,38950,75233.3333,74826.6667,79690,35673.3333,74116.6667,79466.6667,35703.3333,34676.6667,73463.3333
26,76940,78370,47536.6667,76983.3333,78566.6667,49440,46990,76556.6667,76060,79753.3333,39443.3333,75850,79323.3333,38810,39296.6667,75636.6667,75056.6667,79690,35863.3333,74636.6667,79506.6667,35963.3333,35206.6667,73590
27,76940,78370,47720,76986.6667,78566.6667,49786.6667,47613.3333,76556.6667,76220,79753.3333,39653.3333,76090,79340,39046.6667,39490,75776.6667,75436.6667,79746.6667,36440,75020,79520,36266.6667,35613.3333,73886.6667
28,76940,78370,47840,76986.6667,78566.6667,49963.3333,47876.6667,76556.6667,76433.3333,79753.3333,39910,76236.6667,79340,39353.3333,39843.3333,75933.3333,75566.6667,79746.6667,36916.6667,75286.6667,79520,36353.3333,35773.3333,74080
29,76940,78370,47943.3333,76986.6667,78566.6667,50230,48396.6667,76556.6667,76633.3333,79753.3333,40260,76513.3333,79340,39490,40060,76116.6667,75700,79753.3333,37176.6667,75390,79520,36553.3333,36156.6667,74420
30,76940,78370,48113.3333,76986.6667,78566.6667,50380,48600,76556.6667,76770,79770,40590,76716.6667,79346.6667,39840,40623.3333,76276.6667,76046.6667,79753.3333,37840,75686.6667,79540,36686.6667,36500,74673.3333
31,76946.6667,78370,48160,76986.6667,78566.6667,50650,48770,76556.6667,76793.3333,79770,40876.6667,76853.3333,79376.6667,40206.6667,40813.3333,76570,76160,79756.6667,38413.3333,75900,79540,36950,37156.6667,75046.6667
32,76946.6667,78370,48160,76986.6667,78566.6667,50670,49016.6667,76556.6667,77030,79806.6667,41396.6667,77016.6667,79376.6667,40823.3333,41063.3333,76780,76576.6667,79756.6667,39203.3333,76033.3333,79540,37116.6667,37306.6667,75126.6667
33,76946.6667,78370,48160,76986.6667,78566.6667,50876.6667,49283.3333,76556.6667,77043.3333,79810,41690,77213.3333,79376.6667,41150,41363.3333,76930,76616.6667,79763.3333,39460,76236.6667,79540,37236.6667,37856.6667,75386.6667
34,76946.6667,78370,48200,76986.6667,78566.6667,51156.6667,49450,76556.6667,77240,79813.3333,42223.3333,77406.6667,79376.6667,41416.6667,41543.3333,77146.6667,76950,79763.3333,39753.3333,76386.6667,79540,37576.6667,38000,75610
35,76946.6667,78370,48200,76986.6667,78566.6667,51190,49656.6667,76556.6667,77476.6667,79813.3333,42843.3333,77440,79400,41666.6667,41993.3333,77256.6667,77163.3333,79763.3333,39840,76540,79540,37766.6667,38396.6667,75800
36,76946.6667,78370,48200,76986.6667,78566.6667,51253.3333,49863.3333,76556.6667,77580,79813.3333,43400,77573.3333,79400,42023.3333,42420,77383.3333,77250,79763.3333,39983.3333,76600,79540,37840,38646.6667,76043.3333
37,76946.6667,78370,48200,76986.6667,78566.6667,51400,50113.3333,76556.6667,77620,79813.3333,43826.6667,77633.3333,79400,42120,42543.3333,77403.3333,77360,79763.3333,40516.6667,76903.3333,79540,37940,39103.3333,76130
38,76946.6667,78370,48200,76986.6667,78566.6667,51553.3333,50456.6667,76556.6667,77800,79836.6667,44333.3333,77716.6667,79400,42250,42783.3333,77643.3333,77633.3333,79763.3333,41173.3333,77146.6667,79540,38223.3333,39530,76306.6667
39,76946.6667,78370,48200,76986.6667,78566.6667,51660,50693.3333,76556.6667,77820,79836.6667,44640,77886.6667,79400,42333.3333,43510,77736.6667,77653.3333,79763.3333,41886.6667,77276.6667,79540,38223.3333,39886.6667,76386.6667
40,76946.6667,78370,48200,76986.6667,78566.6667,51660,50873.3333,76556.6667,78003.3333,79836.6667,44906.6667,77956.6667,79400,42596.6667,43823.3333,77916.6667,77773.3333,79763.3333,42250,77330,79550,38273.3333,40493.3333,76613.3333
41,76946.6667,78370,48200,76986.6667,78566.6667,51790,51190,76556.6667,78046.6667,79836.6667,45196.6667,78050,79400,42740,44056.6667,78030,77910,79763.3333,42680,77450,79553.3333,38273.3333,40726.6667,76736.6667
42,76946.6667,78370,48200,76986.6667,78566.6667,51790,51270,76556.6667,78133.3333,79836.6667,45763.3333,78096.6667,79410,42930,44226.6667,78050,77983.3333,79763.3333,42980,77526.6667,79560,38470,41500,76876.6667
43,76946.6667,78370,48200,76986.6667,78566.6667,51793.3333,51566.6667,76556.6667,78223.3333,79836.6667,46393.3333,78186.6667,79410,43026.6667,44350,78286.6667,78120,79763.3333,43033.3333,77600,79560,38550,41923.3333,76910
44,76946.6667,78370,48200,76986.6667,78566.6667,51793.3333,51703.3333,76556.6667,78253.3333,79836.6667,46946.6667,78230,79450,43220,44676.6667,78313.3333,78193.3333,79763.3333,43550,77650,79560,38663.3333,42006.6667,76930
45,76946.6667,78370,48200,76986.6667,78566.6667,51840,51750,76556.6667,78296.6667,79836.6667,47063.3333,78320,79466.6667,43470,44970,78396.6667,78340,79763.3333,43666.6667,77706.6667,79560,38823.3333,42326.6667,76993.3333
46,76946.6667,78370,48200,76986.6667,78566.6667,51863.3333,51880,76556.6667,78370,79836.6667,47203.3333,78406.6667,79483.3333,43676.6667,45303.3333,78480,78493.3333,79763.3333,43896.6667,77813.3333,79560,39046.6667,42663.3333,77073.3333
47,76946.6667,78370,48200,77026.6667,78566.6667,51926.6667,52026.6667,76556.6667,78410,79836.6667,47370,78450,79486.6667,44106.6667,45556.6667,78600,78550,79763.3333,44213.3333,77856.6667,79560,39046.6667,42823.3333,77110
48,76946.6667,78370,48206.6667,77026.6667,78566.6667,51973.3333,52296.6667,76556.6667,78503.3333,79836.6667,47763.3333,78520,79486.6667,44346.6667,45903.3333,78653.3333,78630,79763.3333,44556.6667,77930,79560,39133.3333,42976.6667,77246.6667
49,76946.6667,78370,48206.6667,77026.6667,78566.6667,51976.6667,52376.6667,76556.6667,78560,79836.6667,47796.6667,78573.3333,79486.6667,44346.6667,46220,78690,78686.6667,79786.6667,44906.6667,77956.6667,79576.6667,39313.3333,43753.3333,77453.3333
50,76946.6667,78370,48266.6667,77026.6667,78566.6667,52096.6667,52583.3333,76556.6667,78596.6667,79836.6667,48193.3333,78646.6667,79486.6667,44466.6667,46273.3333,78766.6667,78693.3333,79793.3333,45090,78120,79576.6667,39340,43810,77486.6667
51,76946.6667,78370,48340,77026.6667,78566.6667,52240,52710,76556.6667,78630,79836.6667,48386.6667,78696.6667,79490,44486.6667,46686.6667,78800,78800,79793.3333,45430,78273.3333,79576.6667,39343.3333,44120,77603.3333
52,76946.6667,78370,48340,77026.6667,78566.6667,52243.3333,52890,76556.6667,78686.6667,79836.6667,48796.6667,78713.3333,79490,44486.6667,46813.3333,78866.6667,78836.6667,79793.3333,45703.3333,78346.6667,79576.6667,39546.6667,44320,77753.3333
53,76946.6667,78370,48340,77036.6667,78566.6667,52266.6667,53056.6667,76556.6667,78753.3333,79836.6667,49010,78746.6667,79493.3333,45006.6667,47150,78950,78923.3333,79793.3333,45956.6667,78353.3333,79576.6667,40066.6667,44503.3333,77933.3333
54,76946.6667,78370,48340,77036.6667,78566.6667,52273.3333,53136.6667,76556.6667,78843.3333,79836.6667,49323.3333,78760,79520,45060,47606.6667,79016.6667,78953.3333,79793.3333,46053.3333,78376.6667,79576.6667,40106.6667,44730,78076.6667
